Date,Open,High,Low,Close,Volume
2000-01-31,26.66679954528809,31.91679954528809,24.16679954528809,29.375099182128903,59588542
2000-02-29,29.333499908447266,34.25019836425781,27.625099182128903,33.37519836425781,44438920
2000-03-31,33.12519836425781,36.62519836425781,30.125099182128903,34.916900634765625,62998026
2000-04-28,34.833499908447266,37.00019836425781,31.125099182128903,35.083499908447266,64888466
2000-05-31,35.291900634765625,38.25019836425781,28.66679954528809,35.0,51704615
2000-06-30,35.1875,44.25,35.0,42.0,52813500
2000-07-31,41.3125,46.1875,40.125,45.75,34738300
2000-08-31,45.375,47.625,39.875,44.625,39725500
2000-09-29,45.0625,55.9375,40.5,52.5,37088600
2000-10-31,52.875,61.0,47.25,56.6875,57418600
2000-11-30,55.5625,61.25,53.0625,58.125,47221600
2000-12-29,58.625,58.625,36.75,48.625,82220500
2001-01-31,49.6875,51.0,43.875,45.125,50089900
2001-02-28,45.125,45.125,39.375,39.9375,55096800
2001-03-30,40.25,41.8125,32.875,37.0625,74862600
2001-04-30,37.5,40.0,33.790000915527344,34.560001373291016,65486500
2001-05-31,35.08000183105469,42.84999847412109,30.61000061035156,38.43000030517578,77570200
2001-06-29,38.790000915527344,42.0,35.900001525878906,40.0,69667900
2001-07-31,41.130001068115234,43.4900016784668,37.75,39.29999923706055,53975600
2001-08-31,39.560001373291016,40.18999862670898,36.619998931884766,37.06999969482422,43721600
2001-09-28,37.310001373291016,37.45000076293945,28.270000457763672,31.51000022888184,79950200
2001-10-31,31.51000022888184,35.5,29.63999938964844,32.060001373291016,57168300
2001-11-30,32.2599983215332,37.20000076293945,31.59000015258789,35.0099983215332,41290600
2001-12-31,35.0,39.470001220703125,34.16999816894531,34.849998474121094,60504200
2002-01-31,35.08000183105469,38.2400016784668,31.850000381469727,36.70000076293945,60110500
2002-02-28,36.13999938964844,37.5009994506836,34.41999816894531,36.95000076293945,37587300
2002-03-28,36.96500015258789,42.150001525878906,36.77000045776367,39.70000076293945,61058000
2002-04-30,39.45000076293945,41.400001525878906,35.63999938964844,37.33000183105469,50427100
2002-05-31,37.5,38.0,33.66999816894531,34.650001525878906,54751100
2002-06-28,34.650001525878906,35.2400016784668,28.049999237060547,31.290000915527344,72511600
2002-07-31,31.299999237060547,31.700000762939453,21.65999984741211,26.309999465942383,87503950
2002-08-30,26.239999771118164,27.09000015258789,20.38999938964844,23.399999618530277,77001410
2002-09-30,23.479999542236328,26.18000030517578,21.82099914550781,24.270000457763672,69922414
