Date,Open,High,Low,Close,Volume
2000-01-07,29.125,33.125,28.75,31.125,58158100
2000-01-14,35.0,36.75,33.3125,33.5625,82951400
2000-01-21,33.75,35.4375,32.6875,32.75,29742300
2000-01-28,33.0,38.0,32.375,36.75,65083800
2000-02-04,36.0625,38.5,35.8125,38.125,41176500
2000-02-11,38.0,39.0,36.8125,37.875,30601800
2000-02-18,37.0,37.375,35.3125,35.5,27631600
2000-02-25,35.3125,35.4375,31.0,31.0,37383600
2000-03-03,32.3125,36.5,32.0,36.5,41283500
2000-03-10,35.875,36.75,34.625,35.125,33450900
2000-03-17,33.125,36.9375,33.0,36.8125,34102100
2000-03-24,37.8125,41.9375,37.6875,41.4375,58073100
2000-03-31,41.5,42.5,39.75,41.25,28933700
2000-04-07,41.4375,41.9375,38.375,41.0,23585400
2000-04-14,40.75,43.625,37.6875,38.875,31894200
2000-04-20,37.5,42.5,37.0625,42.25,24495600
2000-04-28,41.125,43.625,39.6875,43.625,29597300
2000-05-05,43.5625,43.875,39.25,39.5625,34851400
2000-05-12,39.625,41.75,39.5625,40.80860137939453,19531100
2000-05-19,40.6875,42.875,39.75,41.0625,22468400
2000-05-26,41.1875,41.5,38.1875,39.875,19848400
2000-06-02,40.875,42.5625,40.25,40.4375,21962600
2000-06-09,40.5,42.0,40.0,41.5625,18275400
2000-06-16,41.3125,42.25,40.1875,41.1875,20333500
2000-06-23,41.3125,42.0625,39.375,39.625,17089800
2000-06-30,39.8125,40.5,37.75,38.8125,21482400
2000-07-07,38.125,39.1875,36.5,38.0,19465600
2000-07-14,37.5,38.4375,36.0,37.4375,21027400
2000-07-21,37.4375,39.3125,35.375,37.4375,24075800
2000-07-28,37.0625,38.5,36.3125,37.875,16453100
2000-08-04,38.0,43.0,38.0,42.4375,36073600
2000-08-11,42.0,42.125,39.5625,40.625,23106500
2000-08-18,41.0,41.125,38.75,39.125,15096900
2000-08-25,38.875,39.25,37.4375,38.125,17570500
2000-09-01,37.75,39.8125,37.625,39.0,16157800
2000-09-08,39.3125,41.5,38.5625,40.25,14981900
2000-09-15,39.8125,40.1875,38.5,39.1875,17237900
2000-09-22,39.0,39.0625,36.8125,37.4375,16788900
2000-09-29,37.875,39.4375,37.3125,38.25,17182300
2000-10-06,38.75,41.5,38.5,40.6875,22013300
2000-10-13,40.5625,41.9375,38.0625,39.75,23972100
2000-10-20,39.0625,39.125,33.5,36.375,34125000
2000-10-27,36.6875,36.8125,33.875,34.3125,21260300
2000-11-03,35.5,38.25,33.8125,38.0625,23251000
2000-11-10,37.875,38.125,30.8125,31.6875,48016200
2000-11-17,31.0,32.5,29.6875,30.1875,34845100
2000-11-24,30.5,30.5,28.5,29.75,18725300
2000-12-01,30.375,30.75,27.875,30.0,26192400
2000-12-08,29.5625,32.0,29.0625,30.9375,21262400
2000-12-15,31.0625,31.0625,28.25,29.375,30160800
2000-12-22,29.125,29.9375,26.0,26.4375,33923500
2000-12-29,27.0,29.125,26.75,28.9375,22504800
2001-01-05,28.125,33.4375,27.625,31.5,33365300
2001-01-12,31.5,31.875,29.3125,31.5625,27139800
2001-01-19,31.9375,34.0,31.8125,32.6875,22447400
2001-01-26,31.125,31.3125,29.3125,29.8125,37220000
2001-02-02,29.8700008392334,31.700000762939453,29.56999969482422,30.75,26004200
2001-02-09,30.309999465942383,32.849998474121094,29.809999465942383,31.950000762939453,35123200
2001-02-16,31.950000762939453,32.97999954223633,30.75,32.0099983215332,26161300
2001-02-23,32.0,32.099998474121094,29.600000381469727,30.299999237060547,20275200
2001-03-02,30.149999618530277,31.399999618530277,28.68000030517578,29.989999771118164,24726300
2001-03-09,29.780000686645508,30.399999618530277,29.100000381469727,29.71999931335449,26058700
2001-03-16,29.299999237060547,29.38999938964844,26.299999237060547,27.520000457763672,34824400
2001-03-23,27.75,28.229999542236328,26.059999465942383,27.81999969482422,31915900
2001-03-30,28.0,29.76000022888184,27.25,28.600000381469727,29678300
2001-04-06,28.299999237060547,28.96999931335449,26.46999931335449,28.489999771118164,26731900
2001-04-12,28.489999771118164,29.63999938964844,28.049999237060547,29.09000015258789,15493200
2001-04-20,28.950000762939453,32.0,28.82999992370605,31.36000061035156,26334200
2001-04-27,31.36000061035156,31.96999931335449,28.57999992370605,30.93000030517578,32307800
2001-05-04,30.799999237060547,31.850000381469727,30.25,30.90999984741211,18674600
2001-05-11,30.90999984741211,31.700000762939453,29.850000381469727,31.270000457763672,18530500
2001-05-18,31.15999984741211,33.25,30.299999237060547,32.599998474121094,32614700
2001-05-25,33.72999954223633,34.79999923706055,32.15999984741211,32.63999938964844,35757700
2001-06-01,32.099998474121094,32.849998474121094,31.190000534057617,31.71999931335449,18470700
2001-06-08,31.600000381469727,32.40999984741211,31.1299991607666,31.850000381469727,18322400
2001-06-15,31.600000381469727,31.75,29.26000022888184,29.700000762939453,20960200
2001-06-22,29.299999237060547,30.290000915527344,28.299999237060547,29.190000534057617,27888800
2001-06-29,29.190000534057617,29.190000534057617,27.350000381469727,28.88999938964844,30656900
2001-07-06,28.549999237060547,29.020000457763672,27.270000457763672,27.709999084472656,15040200
2001-07-13,27.709999084472656,28.299999237060547,26.809999465942383,28.190000534057617,30880100
2001-07-20,28.600000381469727,28.6200008392334,26.770000457763672,27.0,27198500
2001-07-27,27.0,27.350000381469727,26.030000686645508,27.030000686645508,29230300
2001-08-03,27.270000457763672,27.5,26.18000030517578,26.600000381469727,38170400
2001-08-10,26.700000762939453,27.979999542236328,26.6200008392334,27.399999618530277,26615100
2001-08-17,27.399999618530277,27.59000015258789,25.100000381469727,25.649999618530277,26187200
2001-08-24,25.700000762939453,26.850000381469727,25.5,26.649999618530277,18461700
2001-08-31,26.799999237060547,26.93000030517578,24.420000076293945,25.43000030517578,19016900
2001-09-07,25.100000381469727,26.049999237060547,23.149999618530277,24.11000061035156,25111000
2001-09-21,23.5,23.989999771118164,15.5,17.8700008392334,206507800
2001-09-28,18.0,18.799999237060547,17.1299991607666,18.6200008392334,74988800
2001-10-05,18.6200008392334,20.229999542236328,18.020000457763672,19.200000762939453,52471400
2001-10-12,19.200000762939453,20.489999771118164,18.40999984741211,19.61000061035156,40946500
2001-10-19,19.06999969482422,19.899999618530277,17.809999465942383,18.489999771118164,34334000
2001-10-26,18.26000022888184,19.38999938964844,18.0,18.709999084472656,35421100
2001-11-02,18.700000762939453,19.100000381469727,18.010000228881836,18.8700008392334,31789200
2001-11-09,19.25,19.549999237060547,18.049999237060547,18.950000762939453,47668000
2001-11-16,19.0,21.350000381469727,18.200000762939453,20.76000022888184,70662600
2001-11-23,21.25,21.90999984741211,20.40999984741211,21.0,38146700
2001-11-30,21.149999618530277,21.5,19.75,20.46999931335449,32772700
2001-12-07,20.46999931335449,22.899999618530277,19.5,22.350000381469727,48460900
2001-12-14,22.0,22.649999618530277,20.371000289916992,20.96999931335449,41963900
2001-12-21,21.25,21.290000915527344,20.40999984741211,20.68000030517578,47038300
2001-12-28,20.950000762939453,21.149999618530277,20.440000534057617,20.950000762939453,20495700
2002-01-04,20.950000762939453,22.75,20.549999237060547,22.700000762939453,37933500
2002-01-11,22.950000762939453,23.600000381469727,21.600000381469727,21.8700008392334,40772100
2002-01-18,21.559999465942383,21.799999237060547,20.5,21.200000762939453,32288800
2002-01-25,21.399999618530277,21.90999984741211,20.799999237060547,21.780000686645508,26180200
2002-02-01,22.600000381469727,22.600000381469727,20.020000457763672,22.450000762939453,49516500
2002-02-08,22.459999084472656,23.59000015258789,21.200000762939453,23.420000076293945,41235000
2002-02-15,23.26000022888184,24.38999938964844,23.06999969482422,23.899999618530277,37986500
2002-02-22,23.700000762939453,24.440000534057617,22.850000381469727,23.670000076293945,28775600
2002-03-01,23.920000076293945,24.600000381469727,22.799999237060547,23.989999771118164,45405900
2002-03-08,24.0,24.26000022888184,23.25,23.75,48065200
2002-03-15,23.600000381469727,24.399999618530277,23.18000030517578,24.31999969482422,30705200
2002-03-22,24.479999542236328,25.0,23.18000030517578,23.450000762939453,28849100
2002-03-28,23.700000762939453,23.700000762939453,22.649999618530277,23.07999992370605,23453700
2002-04-05,22.649999618530277,23.6200008392334,22.100000381469727,23.239999771118164,29311100
2002-04-12,22.75,24.239999771118164,22.729999542236328,24.0,32082200
2002-04-19,24.0,25.170000076293945,23.25,24.950000762939453,43507500
2002-04-26,25.0,25.149999618530277,23.68000030517578,24.100000381469727,37639900
2002-05-03,23.899999618530277,24.700000762939453,22.75,23.600000381469727,32747800
2002-05-10,23.3700008392334,23.899999618530277,22.780000686645508,23.149999618530277,24798200
2002-05-17,23.450000762939453,24.979999542236328,23.26000022888184,24.850000381469727,24630900
2002-05-24,24.600000381469727,24.649999618530277,23.06999969482422,23.559999465942383,25496300
2002-05-31,23.799999237060547,23.899999618530277,22.600000381469727,22.90999984741211,21743300
2002-06-07,23.0,23.36000061035156,21.100000381469727,21.649999618530277,36315900
2002-06-14,21.75,22.3700008392334,19.700000762939453,21.030000686645508,36824300
2002-06-21,21.0,22.190000534057617,19.149999618530277,19.25,43970200
2002-06-28,19.25,19.649999618530277,18.450000762939453,18.899999618530277,59682600
2002-07-05,18.899999618530277,20.0,17.600000381469727,19.790000915527344,29224000
2002-07-12,19.600000381469727,19.790000915527344,17.809999465942383,18.450000762939453,33372800
2002-07-19,18.049999237060547,18.26099967956543,16.3700008392334,16.639999389648438,42313800
2002-07-26,16.239999771118164,16.68000030517578,14.619999885559082,15.699999809265137,58017900
2002-08-02,16.190000534057617,17.399999618530273,14.619999885559082,15.020000457763672,65868400
2002-08-09,14.779999732971191,14.859999656677246,13.220000267028809,14.369999885559082,71633200
2002-08-16,14.31999969482422,15.90999984741211,13.260000228881836,15.5600004196167,68838800
2002-08-23,15.890000343322754,17.1200008392334,15.699999809265137,16.510000228881836,43070800
2002-08-30,16.510000228881836,16.559999465942383,14.579999923706056,15.380000114440918,36574500
2002-09-06,15.289999961853027,15.289999961853027,14.260000228881836,15.06999969482422,27374200
2002-09-13,15.039999961853027,16.329999923706055,14.770000457763672,15.210000038146973,29795000
2002-09-20,15.210000038146973,15.9399995803833,14.539999961853027,14.949999809265137,38188900
2002-09-27,14.619999885559082,15.68000030517578,14.3100004196167,14.949999809265137,47413100
2002-10-04,14.770000457763672,16.3799991607666,14.31999969482422,14.770000457763672,65242000
2002-10-11,14.770000457763672,15.84000015258789,13.640000343322754,15.699999809265137,49984700
2002-10-18,15.06999969482422,16.579999923706055,15.050000190734863,16.43000030517578,43525500
2002-10-25,16.43000030517578,17.770000457763672,16.209999084472656,17.639999389648438,48462600
2002-11-01,17.65999984741211,17.809999465942383,16.209999084472656,16.709999084472656,35770900
2002-11-08,17.809999465942383,18.6299991607666,16.739999771118164,17.350000381469727,50439000
2002-11-15,17.270000457763672,18.34000015258789,16.739999771118164,18.18000030517578,28219100
2002-11-22,18.299999237060547,19.43000030517578,17.59000015258789,19.15999984741211,32446100
2002-11-29,19.18000030517578,19.809999465942383,18.51000022888184,19.440000534057617,25013600
2002-12-06,19.520000457763672,19.86000061035156,16.530000686645508,16.850000381469727,48737500
2002-12-13,16.809999465942383,16.899999618530273,16.09000015258789,16.209999084472656,32770400
2002-12-20,16.329999923706055,16.90999984741211,15.6899995803833,16.149999618530273,33168100
2002-12-27,16.190000534057617,16.639999389648438,15.640000343322754,15.710000038146973,17678900
2003-01-03,15.359999656677246,17.1200008392334,15.210000038146973,17.030000686645508,28509200
